FID,date_range_start,days,median_home_dwell_time,median_non_home_dwell_time,sum_work_behavior_device
0,2020-01-06T00:00:00-07:00,0,738,166,13377
1,2020-01-07T00:00:00-07:00,1,734,181,12812
2,2020-01-08T00:00:00-07:00,2,739,198,12782
3,2020-01-09T00:00:00-07:00,3,722,203,13215
4,2020-01-10T00:00:00-07:00,4,714,177,11160
5,2020-01-11T00:00:00-07:00,5,867,86,5123
6,2020-01-12T00:00:00-07:00,6,959,59,3672
7,2020-01-13T00:00:00-07:00,7,751,186,12395
8,2020-01-14T00:00:00-07:00,8,750,203,12849
9,2020-01-15T00:00:00-07:00,9,747,233,12342
10,2020-01-16T00:00:00-07:00,10,731,228,12780
11,2020-01-17T00:00:00-07:00,11,712,164,10451
12,2020-01-18T00:00:00-07:00,12,838,103,4820
13,2020-01-19T00:00:00-07:00,13,921,86,3931
14,2020-01-20T00:00:00-07:00,14,803,101,7388
15,2020-01-21T00:00:00-07:00,15,740,201,12014
16,2020-01-22T00:00:00-07:00,16,725,209,12742
17,2020-01-23T00:00:00-07:00,17,731,223,12731
18,2020-01-24T00:00:00-07:00,18,713,214,11295
19,2020-01-25T00:00:00-07:00,19,852,107,3965
20,2020-01-26T00:00:00-07:00,20,975,78,3790
21,2020-01-27T00:00:00-07:00,21,758,206,12409
22,2020-01-28T00:00:00-07:00,22,747,227,11912
23,2020-01-29T00:00:00-07:00,23,749,234,12198
24,2020-01-30T00:00:00-07:00,24,743,231,12397
25,2020-01-31T00:00:00-07:00,25,716,232,11114
26,2020-02-01T00:00:00-07:00,26,792,87,5578
27,2020-02-02T00:00:00-07:00,27,871,66,4206
28,2020-02-03T00:00:00-07:00,28,815,20,7631
29,2020-02-04T00:00:00-07:00,29,714,166,13950
30,2020-02-05T00:00:00-07:00,30,727,182,13641
31,2020-02-06T00:00:00-07:00,31,724,181,13655
32,2020-02-07T00:00:00-07:00,32,631,158,12110
33,2020-02-08T00:00:00-07:00,33,757,91,5753
34,2020-02-09T00:00:00-07:00,34,864,65,4356
35,2020-02-10T00:00:00-07:00,35,703,168,14200
36,2020-02-11T00:00:00-07:00,36,731,210,14409
37,2020-02-12T00:00:00-07:00,37,720,202,13902
38,2020-02-13T00:00:00-07:00,38,622,179,13048
39,2020-02-14T00:00:00-07:00,39,631,173,9886
40,2020-02-15T00:00:00-07:00,40,678,96,5139
41,2020-02-16T00:00:00-07:00,41,783,81,4383
42,2020-02-17T00:00:00-07:00,42,746,96,6958
43,2020-02-18T00:00:00-07:00,43,724,207,12459
44,2020-02-19T00:00:00-07:00,44,663,186,12837
45,2020-02-20T00:00:00-07:00,45,672,206,13378
46,2020-02-21T00:00:00-07:00,46,642,204,12532
47,2020-02-22T00:00:00-07:00,47,751,106,5178
48,2020-02-23T00:00:00-07:00,48,864,83,3975
49,2020-02-24T00:00:00-07:00,49,657,166,11929
50,2020-02-25T00:00:00-07:00,50,497,67,8272
51,2020-02-26T00:00:00-07:00,51,611,205,13522
52,2020-02-27T00:00:00-07:00,52,639,206,13560
53,2020-02-28T00:00:00-07:00,53,640,189,10802
54,2020-02-29T00:00:00-07:00,54,749,108,4769
55,2020-03-01T00:00:00-07:00,55,895,47,4002
56,2020-03-02T00:00:00-07:00,56,693.5,156,12856
57,2020-03-03T00:00:00-07:00,57,669,178,13976
58,2020-03-04T00:00:00-07:00,58,669,190,13006
59,2020-03-05T00:00:00-07:00,59,632,206,14268
60,2020-03-06T00:00:00-07:00,60,602,211,12213
61,2020-03-07T00:00:00-07:00,61,717,123,5413
62,2020-03-08T00:00:00-07:00,62,828,86,5079
63,2020-03-09T00:00:00-06:00,63,665,181.5,13275
64,2020-03-10T00:00:00-06:00,64,699,206,13624
65,2020-03-11T00:00:00-06:00,65,709,221,13527
66,2020-03-12T00:00:00-06:00,66,665,172,13477
67,2020-03-13T00:00:00-06:00,67,668,159,11664
68,2020-03-14T00:00:00-06:00,68,872,65,4963
69,2020-03-15T00:00:00-06:00,69,963,26,4008
70,2020-03-16T00:00:00-06:00,70,783,79,9270
71,2020-03-17T00:00:00-06:00,71,817,62,9354
72,2020-03-18T00:00:00-06:00,72,909,30,6930
73,2020-03-19T00:00:00-06:00,73,827,39,7584
74,2020-03-20T00:00:00-06:00,74,736,31,6409
75,2020-03-21T00:00:00-06:00,75,743,11,4116
76,2020-03-22T00:00:00-06:00,76,870,10,3950
77,2020-03-23T00:00:00-06:00,77,821,32,7712
78,2020-03-24T00:00:00-06:00,78,837.5,29.5,7461
79,2020-03-25T00:00:00-06:00,79,847,36,8053
80,2020-03-26T00:00:00-06:00,80,861,25,7533
81,2020-03-27T00:00:00-06:00,81,890,31,6629
82,2020-03-28T00:00:00-06:00,82,1054,13,3648
83,2020-03-29T00:00:00-06:00,83,1157,2,3401
84,2020-03-30T00:00:00-06:00,84,866,20,6795
