FID,date,InfC,Activ,Recov,Died
0,3/13/2020,2,2,0,0
1,3/14/2020,4,6,0,0
2,3/15/2020,9,15,0,0
3,3/16/2020,5,20,0,0
4,3/17/2020,3,23,0,0
5,3/18/2020,4,27,0,0
6,3/19/2020,13,40,0,0
7,3/20/2020,16,56,0,0
8,3/21/2020,15,71,0,0
9,3/22/2020,30,101,0,0
10,3/23/2020,9,110,0,0
11,3/24/2020,38,148,0,0
12,3/25/2020,18,166,0,0
13,3/26/2020,46,212,0,0
14,3/27/2020,54,263,2,1
15,3/28/2020,53,311,6,2
16,3/29/2020,38,340,15,2
17,3/30/2020,43,378,20,2
18,3/31/2020,36,410,23,3
19,4/1/2020,39,445,27,3
20,4/2/2020,78,509,40,4
21,4/3/2020,86,579,56,4
22,4/4/2020,84,646,70,7
23,4/5/2020,38,656,98,7
24,4/6/2020,40,687,107,7
25,4/7/2020,47,696,145,7
26,4/8/2020,81,759,162,8
27,4/9/2020,72,784,207,10
28,4/10/2020,72,803,259,11
29,4/11/2020,52,803,311,11
30,4/12/2020,29,794,348,12
31,4/13/2020,31,783,390,12
32,4/14/2020,98,844,426,13
33,4/15/2020,93,897,465,14
34,4/16/2020,78,898,542,14
35,4/17/2020,94,908,625,15
36,4/18/2020,67,889,709,17
37,4/19/2020,49,900,747,17
38,4/20/2020,49,907,786,20
39,4/21/2020,81,941,833,20
40,4/22/2020,98,958,912,22
41,4/23/2020,68,950,983,27
42,4/24/2020,88,966,1055,27
43,4/25/2020,98,1012,1105,29
44,4/26/2020,46,1028,1134,30
45,4/27/2020,62,1061,1162,31
46,4/28/2020,92,1056,1259,31
47,4/29/2020,86,1051,1350,31
48,4/30/2020,91,1066,1425,32
49,5/1/2020,81,1057,1513,34
50,5/2/2020,98,1086,1579,37
51,5/3/2020,56,1094,1627,37
52,5/4/2020,62,1108,1674,38
53,5/5/2020,88,1115,1753,40
54,5/6/2020,93,1109,1849,43
55,5/7/2020,96,1138,1915,44
56,5/8/2020,100,1148,2001,48
57,5/9/2020,84,1132,2098,51
58,5/10/2020,75,1159,2144,53
59,5/11/2020,48,1145,2205,54
60,5/12/2020,120,1173,2297,54
61,5/13/2020,70,1157,2381,56
62,5/14/2020,103,1172,2468,57
63,5/15/2020,76,1167,2544,62
64,5/16/2020,96,1170,2636,63
65,5/17/2020,58,1172,2691,64
66,5/18/2020,80,1189,2752,66
67,5/19/2020,110,1212,2839,66
68,5/20/2020,92,1211,2931,67
69,5/21/2020,101,1216,3025,69
70,5/22/2020,121,1238,3123,70
71,5/23/2020,75,1231,3204,71
72,5/24/2020,65,1220,3279,72
73,5/25/2020,50,1223,3325,73
74,5/26/2020,48,1151,3445,73
75,5/27/2020,148,1231,3513,73
76,5/28/2020,170,1296,3615,76
77,5/29/2020,125,1345,3691,76
78,5/30/2020,120,1368,3787,77
79,5/31/2020,99,1409,3844,78
80,6/1/2020,111,1439,3922,81
81,6/2/2020,152,1482,4031,81
82,6/3/2020,149,1537,4123,83
83,6/4/2020,149,1585,4223,84
84,6/5/2020,182,1650,4340,84
85,6/6/2020,93,1667,4414,86
86,6/7/2020,135,1734,4479,89
87,6/8/2020,106,1792,4527,89
88,6/9/2020,175,1919,4572,92
89,6/10/2020,184,1959,4714,94
90,6/11/2020,172,1962,4882,95
91,6/12/2020,211,2047,5006,97
92,6/13/2020,162,2088,5126,98
93,6/14/2020,167,2158,5221,100
94,6/15/2020,143,2191,5330,101
95,6/16/2020,221,2263,5479,101
96,6/17/2020,259,2371,5627,104
97,6/18/2020,279,2501,5775,105
98,6/19/2020,319,2638,5956,106
99,6/20/2020,199,2743,6048,108
100,6/21/2020,178,2786,6183,108
101,6/22/2020,152,2831,6289,109
102,6/23/2020,264,2920,6464,109
103,6/24/2020,312,3047,6647,111
104,6/25/2020,324,3199,6818,112
105,6/26/2020,298,3286,7029,112
106,6/27/2020,236,3360,7191,112
107,6/28/2020,271,3463,7357,114
108,6/29/2020,264,3583,7500,115
109,6/30/2020,264,3625,7719,118
110,7/1/2020,294,3660,7976,120
111,7/2/2020,320,3702,8254,120
112,7/3/2020,313,3700,8568,121
113,7/4/2020,191,3694,8763,123
114,7/5/2020,203,3713,8941,129
115,7/6/2020,249,3808,9093,131
116,7/7/2020,365,3912,9351,134
117,7/8/2020,312,3910,9659,140
118,7/9/2020,409,3995,9980,143
119,7/10/2020,253,3953,10275,143
120,7/11/2020,276,3991,10511,145
121,7/12/2020,268,3990,10779,146
122,7/13/2020,209,3937,11040,147
123,7/14/2020,223,3897,11301,149
124,7/15/2020,297,3902,11590,152
125,7/16/2020,236,3814,11910,156
126,7/17/2020,283,3784,12221,158
127,7/18/2020,344,3936,12409,162
128,7/19/2020,167,3899,12609,166
129,7/20/2020,180,3827,12855,172
130,7/21/2020,256,3721,13212,177
131,7/22/2020,232,3640,13521,181
132,7/23/2020,324,3557,13925,184
133,7/24/2020,282,3589,14172,187
134,7/25/2020,122,3434,14445,191
135,7/26/2020,185,3362,14701,192
136,7/27/2020,159,3315,14906,193
137,7/28/2020,155,3244,15128,197
138,7/29/2020,236,3182,15421,202
139,7/30/2020,216,3161,15657,203
140,7/31/2020,204,3081,15940,204
141,8/1/2020,176,2915,16280,205
142,8/2/2020,136,2884,16442,210
143,8/3/2020,129,2833,16621,211
144,8/4/2020,191,2773,16872,211
145,8/5/2020,211,2753,17101,213
146,8/6/2020,204,2633,17421,217
147,8/7/2020,160,2508,17702,221
148,8/8/2020,179,2566,17822,222
149,8/9/2020,118,2495,18005,228
150,8/10/2020,162,2495,18164,231
151,8/11/2020,128,2471,18315,232
152,8/12/2020,166,2397,18549,238
153,8/13/2020,259,2440,18764,239
154,8/14/2020,161,2397,18965,242
155,8/15/2020,149,2370,19139,244
156,8/16/2020,100,2338,19271,244
157,8/17/2020,85,2294,19399,245
158,8/18/2020,152,2260,19583,247
159,8/19/2020,209,2262,19789,248
160,8/20/2020,186,2244,19991,250
161,8/21/2020,149,2232,20150,252
162,8/22/2020,129,2182,20328,253
163,8/23/2020,120,2184,20446,253
164,8/24/2020,143,2168,20604,254
165,8/25/2020,151,2191,20730,256
166,8/26/2020,180,2206,20895,256
167,8/27/2020,174,2119,21154,258
168,8/28/2020,187,2147,21313,258
169,8/29/2020,156,2155,21461,258
170,8/30/2020,116,2172,21560,258
171,8/31/2020,119,2205,21645,259
172,9/1/2020,142,2194,21795,262
173,9/2/2020,160,2146,22002,263
174,9/3/2020,174,2132,22188,265
175,9/4/2020,177,2161,22336,265
176,9/5/2020,174,2207,22464,265
177,9/6/2020,118,2202,22581,271
178,9/7/2020,108,2168,22722,272
179,9/8/2020,78,2098,22868,274
180,9/9/2020,91,2009,23048,274
181,9/10/2020,254,2089,23220,276
182,9/11/2020,224,2126,23406,277
183,9/12/2020,199,2170,23561,277
184,9/13/2020,228,2282,23675,279
185,9/14/2020,194,2357,23793,280
186,9/15/2020,276,2493,23933,280
